No,team_left,team_right,winner,exp_prob_left_wins,exp_prob_right_wins,template
1,mod,oct/bliss,mod,0.3708994,0.6291006,mme 2vs2
2,mod,xen/sb,mod,0.2982836,0.7017164,mme 2vs2
3,mod,timi,mod,0.2132917,0.7867083,mme 2vs2
4,mod,arsene,arsene,0.3970534,0.6029466,mme 2vs2
5,mod,quick,quick,0.6077172,0.3922828,mme 2vs2
6,oct/bliss,xen/sb,xen/sb,0.4189405,0.5810595,mme 2vs2
7,oct/bliss,timi,oct/bliss,0.3150022,0.6849978,mme 2vs2
8,oct/bliss,arsene,oct/bliss,0.5276225,0.4723775,mme 2vs2
9,oct/bliss,quick,quick,0.7243389,0.2756611,mme 2vs2
10,xen/sb,timi,xen/sb,0.3894293,0.6105707,mme 2vs2
11,xen/sb,arsene,xen/sb,0.6077172,0.3922828,mme 2vs2
12,xen/sb,quick,quick,0.7846903,0.2153097,mme 2vs2
13,timi,arsene,timi,0.7083613,0.2916387,mme 2vs2
14,timi,quick,quick,0.851058,0.148942,mme 2vs2
15,arsene,quick,quick,0.7017164,0.2982836,mme 2vs2
16,texx,rufus,rufus,0.2756611,0.7243389,biomes 2vs2
17,texx,xen/sal,texx,0.3922828,0.6077172,biomes 2vs2
18,texx,ryiro,texx,0.2982836,0.7017164,biomes 2vs2
19,texx,jake,texx,0.2756611,0.7243389,biomes 2vs2
20,texx,7ate9,7ate9,0.5839742,0.4160258,biomes 2vs2
21,rufus,xen/sal,rufus,0.6291006,0.3708994,biomes 2vs2
22,rufus,ryiro,rufus,0.5276225,0.4723775,biomes 2vs2
23,rufus,jake,rufus,0.5,0.5,biomes 2vs2
24,rufus,7ate9,rufus,0.7867083,0.2132917,biomes 2vs2
25,xen/sal,ryiro,ryiro,0.3970534,0.6029466,biomes 2vs2
26,xen/sal,jake,xen/sal,0.3708994,0.6291006,biomes 2vs2
27,xen/sal,7ate9,xen/sal,0.6849978,0.3150022,biomes 2vs2
28,ryiro,jake,ryiro,0.4723775,0.5276225,biomes 2vs2
29,ryiro,7ate9,ryiro,0.7675617,0.2324383,biomes 2vs2
30,jake,7ate9,7ate9,0.7867083,0.2132917,biomes 2vs2
31,ralph,oct/ragnar,oct/ragnar,0.5,0.5,landria 2vs2
32,ralph,motoki,motoki,0.6077172,0.3922828,landria 2vs2
33,ralph,lnd,lnd,0.8254435,0.1745565,landria 2vs2
34,ralph,wxd,wxd,0.480348,0.519652,landria 2vs2
35,ralph,beep,beep,0.3708994,0.6291006,landria 2vs2
36,oct/ragnar,motoki,oct/ragnar,0.6077172,0.3922828,landria 2vs2
37,oct/ragnar,lnd,oct/ragnar,0.8254435,0.1745565,landria 2vs2
38,oct/ragnar,wxd,oct/ragnar,0.480348,0.519652,landria 2vs2
39,oct/ragnar,beep,oct/ragnar,0.3708994,0.6291006,landria 2vs2
40,motoki,lnd,motoki,0.7532359,0.2467641,landria 2vs2
41,motoki,wxd,wxd,0.3737002,0.6262998,landria 2vs2
42,motoki,beep,motoki,0.2756611,0.7243389,landria 2vs2
43,lnd,wxd,wxd,0.1635127,0.8364873,landria 2vs2
44,lnd,beep,lnd,0.1108554,0.8891446,landria 2vs2
45,wxd,beep,wxd,0.3894293,0.6105707,landria 2vs2